iceberg_id,lat,lon,area_km2,length_km,width_km,velocity_ms,heading_deg,date,source
R21S,-74.0867,97.3465,2357.1,63.7,37.0,0.086,266.6,2026-09-10,mock
W79N,-63.9822,-42.2891,2314.3,80.9,28.6,0.246,257.8,2026-09-10,mock
I29G,-62.3079,-0.9543,4542.6,121.8,37.3,0.106,152.1,2026-09-10,mock
X68R,-76.4341,-92.4176,1838.5,80.5,22.8,0.261,290.6,2026-09-10,mock
S34W,-58.7688,-58.844,3432.1,109.2,31.4,0.266,310.2,2026-09-10,mock
I68U,-68.0418,-63.3631,2512.9,63.4,39.7,0.131,36.4,2026-09-10,mock
T91F,-59.9517,148.4054,2233.3,66.8,33.4,0.378,233.3,2026-09-10,mock
V51Y,-62.4087,-80.5979,2828.1,105.9,26.7,0.274,200.5,2026-09-10,mock
S50G,-78.0,-70.5459,4317.7,99.9,43.2,0.073,328.7,2026-09-10,mock
R43X,-70.2077,101.6405,3750.0,80.5,46.6,0.099,268.2,2026-09-10,mock
Y16D,-58.6157,-42.794,2767.0,105.1,26.3,0.098,177.7,2026-09-10,mock
Q42R,-66.8255,-1.5376,2977.6,68.3,43.6,0.184,358.6,2026-09-10,mock
K24J,-55.0,157.7085,1900.9,83.2,22.9,0.313,276.7,2026-09-10,mock
Q23U,-62.7184,-45.0026,4027.3,112.7,35.7,0.39,274.3,2026-09-10,mock
Q10T,-63.0833,40.4299,2196.2,70.3,31.3,0.107,343.3,2026-09-10,mock
H82C,-69.4139,83.956,2770.4,104.7,26.5,0.332,86.2,2026-09-10,mock
R31I,-61.1809,-45.7193,4922.9,114.1,43.1,0.094,237.5,2026-09-10,mock
J61V,-60.9757,-72.8059,2241.3,77.2,29.0,0.305,72.4,2026-09-10,mock
R39S,-71.4658,102.0884,3080.2,77.6,39.7,0.072,7.6,2026-09-10,mock
Q40I,-66.7281,11.9352,1706.1,51.8,32.9,0.061,119.0,2026-09-10,mock
P62G,-70.3459,91.277,4031.7,121.0,33.3,0.252,87.5,2026-09-10,mock
U22B,-67.5307,-57.2685,2982.5,85.9,34.7,0.305,242.4,2026-09-10,mock
F45O,-57.0179,-21.0822,1882.4,58.7,32.1,0.238,50.5,2026-09-10,mock
R11C,-58.0551,-7.0385,4328.1,124.0,34.9,0.084,234.8,2026-09-10,mock
F58A,-63.2643,-128.3086,2922.4,85.7,34.1,0.353,324.9,2026-09-10,mock
R94W,-61.648,-21.5779,3092.5,85.6,36.1,0.385,358.4,2026-09-10,mock
B16S,-75.852,54.7012,4890.5,116.3,42.0,0.24,269.3,2026-09-10,mock
T18V,-72.3715,71.3816,2051.0,89.2,23.0,0.078,66.9,2026-09-10,mock
N94S,-61.248,140.8966,4616.0,94.9,48.6,0.258,223.0,2026-09-10,mock
V92J,-57.6722,-32.2588,2214.9,83.4,26.5,0.134,142.5,2026-09-10,mock
C78G,-74.2382,68.3559,1753.9,65.6,26.7,0.399,358.6,2026-09-10,mock
R48T,-67.048,-57.5022,4583.0,128.9,35.6,0.179,56.8,2026-09-10,mock
E43D,-73.2602,-94.9653,4359.9,95.0,45.9,0.282,338.0,2026-09-10,mock
U43Q,-69.7296,-118.8033,2453.2,83.4,29.4,0.301,73.3,2026-09-10,mock
K26U,-74.8888,73.0448,1677.8,69.9,24.0,0.34,15.9,2026-09-10,mock
W29R,-69.8842,38.4551,3969.8,103.9,38.2,0.089,340.2,2026-09-10,mock
Z15L,-71.854,-22.6247,2018.3,58.5,34.5,0.158,323.6,2026-09-10,mock
X29H,-59.9793,10.708,2737.9,86.2,31.8,0.356,350.6,2026-09-10,mock
Z62Z,-61.975,161.2966,2119.7,70.4,30.1,0.113,332.8,2026-09-10,mock
P38G,-66.5594,99.4225,2433.8,90.3,27.0,0.088,314.0,2026-09-10,mock
M52I,-55.0,147.7898,4371.9,125.4,34.9,0.128,237.6,2026-09-10,mock
K13D,-62.9058,160.4998,2729.0,84.0,32.5,0.288,303.7,2026-09-10,mock
X50N,-61.096,-130.043,4868.9,98.6,49.4,0.088,156.4,2026-09-10,mock
Q78V,-55.0,-56.8306,4648.3,92.2,50.4,0.066,157.0,2026-09-10,mock
T50V,-56.6974,27.5111,2189.6,72.3,30.3,0.382,331.5,2026-09-10,mock
R26G,-62.3537,164.3014,3274.9,99.2,33.0,0.164,251.0,2026-09-10,mock
A48J,-57.6507,-33.7256,4118.5,85.9,47.9,0.249,146.2,2026-09-10,mock
P31V,-62.5011,8.0995,3791.5,96.8,39.2,0.205,76.9,2026-09-10,mock
J38Z,-65.6621,-50.2844,3667.4,77.2,47.5,0.383,84.6,2026-09-10,mock
U83G,-65.3265,-7.9136,4943.8,118.8,41.6,0.319,163.9,2026-09-10,mock
Y23Y,-59.1365,20.2313,2353.9,83.7,28.1,0.052,270.3,2026-09-10,mock
D68E,-62.1116,-20.9767,1046.9,50.9,20.6,0.245,330.3,2026-09-10,mock
X74N,-75.1536,-79.266,842.8,42.2,20.0,0.314,159.3,2026-09-10,mock
U45Y,-55.0,150.6774,247.1,29.7,8.3,0.208,270.6,2026-09-10,mock
K79C,-74.587,-76.3975,419.2,25.8,16.2,0.15,97.8,2026-09-10,mock
O63B,-71.5917,-13.8089,237.7,21.1,11.2,0.195,119.1,2026-09-10,mock
